Sr. No.,Sector Name,Line Ministry,Implementing Agency,Project Code,Project Name,"Original Cost
(in cr.)","Revised Cost
(in cr.)","Expenditure
(in cr.)","Physical Progress
(in %)","Original
Date of Commissioning","Revised
Date of Commissioning",Sanction Date
926,Roads & Highways,Ministry of Road Transport & Highways,MoRTH,617968,Construction & Widening Including Augustmuni Bypass Ch-16.545 to Ch - 19.890 to 2L/PS from Km 16.545-Km 33.130 & 45.980 -57.975 Augustmuni to Kund & Guptkashi to Sitapur on NH 109 in UK,419,0,178.35,95,16-02-2020,28-07-2021,20-03-2017
927,Roads & Highways,Ministry of Road Transport & Highways,NHIDCL,618289,Construction and up gradation to 4-Lane of existing two lane with paved shoulder from Hapachara to Tulungia road of NH-117 of existing Km 0.00 to km 14.050 and Design Km 0.000 to km 14.660 under BMP on EPC mode,225,0,204.19,97,26-12-2022,30-06-2024,17-03-2020
928,Roads & Highways,Ministry of Road Transport & Highways,NHIDCL,618393,"Construction for Mitigation Measures of 10 Nos. Landslides, 01 No. Sinking Zones and 1 No. of Minor Bridge in between at Ch. Km 368.00 to Km 433.00 on NH-07 on EPC Mode in Uttarakhand Package-1",217,0,94.73,94,05-12-2025,,07-12-2023
929,Roads & Highways,Ministry of Road Transport & Highways,NHIDCL,618391,"Construction for Mitigation Measures of 5 Nos. Landslides, 05 No. Sinking Zones and 01 No. Bridge from Ch. 450.00 to Ch. 468.00 18 Km. Length on NH-07 Package-III",250,0,0,66,05-12-2025,,07-12-2023
930,Roads & Highways,Ministry of Road Transport & Highways,NHIDCL,618392,"Construction for Mitigation Measures of 5 Nos. Landslides, 5 Nos. Sinking Zones in between Ch. 433.00 to 450.00 BANERPANI VILLAGE on NH-07 on EPC mode in the state of Uttarakhand Package-2",260,0,0,40,08-06-2026,,07-12-2023
931,Roads & Highways,Ministry of Road Transport & Highways,MoRTH,617923,Construction of Daspalla Bypass from km 195.250 To 200.635 of NH-57 including land acquisition in the state of Odisha on EPC mode under Annual Plan 2022-23.,156,0,2.65,15,16-05-2027,,28-02-2023
932,Roads & Highways,Ministry of Road Transport & Highways,NHIDCL,618356,Construction of 2 -Lane with paved shoulders road from Tamenglong to Mahur in the state of Manipur from km 31.430 at Old Tamenglong to km 43.480 ending near Phelong on EPC Mode Package-3,234,0,186.27,97,20-12-2022,03-12-2025,30-03-2021
933,Roads & Highways,Ministry of Road Transport & Highways,NHIDCL,618357,Construction of 2 -Lane with paved shoulders road from Tamenglong to Mahur NH-137 in Manipur starting from km 54.180 near Azuram to km 80.630 near Mandeu on EPC Mode Package 5,478,0,330.1,84,19-05-2023,06-04-2025,09-09-2021
934,Roads & Highways,Ministry of Road Transport & Highways,NHIDCL,618358,Construction of 2 -Lane with paved shoulders road from Tamenglong to Mahur NH-137 starting from km 80.630 near Mandeu to km 96.870 near Jiri River on EPC Mode Package-6,311,0,223.12,83,20-05-2023,09-07-2027,13-09-2021
935,Roads & Highways,Ministry of Road Transport & Highways,MoRTH,618034,Construction of 2 lane Barpeta Bypass from Km 77900Baradi to Km 86150 Deurikuchi Length8.25Km on NH-427 in the state of Assam under EPC ModeJob No.427/AS/2022-23/245,174,0,4.87,17,14-08-2026,,28-03-2023
936,Roads & Highways,Ministry of Road Transport & Highways,MoRTH,618160,"Construction of 2 lane Major Bridge including approaches over Brahmaputra between Majuli on North Bank and Jorhat on South Bank from km. 11.690 to km. 19.715 length of bridge 6,812.5m Package - II on NH-715K in the state of Assam Job no. 715/AS/2020-21/213",1019,0,0,0,10-12-2027,,29-03-2025
937,Roads & Highways,Ministry of Road Transport & Highways,MoRTH,618200,Construction of 2 lane with Paved Shoulder for Northern Bypass Phase-II of Kota city in the State of Rajasthan.,318,0,5.97,25,14-04-2025,02-06-2026,31-03-2022
938,Roads & Highways,Ministry of Road Transport & Highways,MoRTH,618011,Construction of 2 lane with paved shoulder for the work of Development of remaining sections of NH-325 Balotra to sanderao via Jalore to 2 lane with paved shoulder configuration by Construction of Byasses for town portions1 Asotra- Brahmdham bypass 2Siwana Bypass 3 Mokalsar Bypass 4 Major realignment at Kathadi 5 Major realignment at Bishangarh 6 Jalore Bypass 7 Ahore Town portion 8 Dujana Bypass in the state of Rajasthan on EPC Mode,411,0,66.63,83,11-05-2024,31-05-2026,07-12-2021
939,Roads & Highways,Ministry of Road Transport & Highways,MoRTH,618184,Construction of 2 Lane with paved shoulder from km 55.6 to km 90.7 existing chainages of NH-766C complete Realignment of 13.76 km with 2 major Bridges across Sharavathi Backwaters on EPC mode under Annual Plan 2022-23 in the state of Karnataka NH-766C-KNT-2022-23 dated 14.10.2022,314,0,0,42,12-02-2026,,12-01-2023
940,Roads & Highways,Ministry of Road Transport & Highways,MoRTH,617929,Construction of 2 lane with paved shoulder of Kund Bypass from Design Km 35.130 to Km 47.700 existing Km 33.130 to Km 41.260 of NH-109 in the State of Uttarakhand,247,0,0,73,06-05-2020,08-02-2021,26-02-2018
941,Roads & Highways,Ministry of Road Transport & Highways,NHIDCL,618420,"Construction of 2 lane with paved shoulder of Shillong Western Bypass starting from NH-06 near Ladumsaw existing km 60.900 of old NH-40 to NH-106 old NH-44E, Package-II km 12800 to km 24700 under SARDP-NE Phase A in the State of Meghalaya on EPC Mode",686,0,202.27,34,01-09-2026,,16-03-2023
942,Roads & Highways,Ministry of Road Transport & Highways,MoRTH,618202,Construction of 2 lane with paved shoulders Baramulla Bypass Greenfield bypass from existing Ch. Km 47020 to Km 56720 and Design Ch. From 48500 to 62600 Total length 14.100 km on road Srinagar Baramulla Uri NH-01 in the UT of Jammu & Kashmir under Project.Package-III,992,0,0,38,01-09-2026,,22-03-2023
943,Roads & Highways,Ministry of Road Transport & Highways,NHIDCL,618413,Construction of 2 laning with Hard shoulder of Peren-Dimapur section on NH 129A from Design Km 146.208 to Km 163.592 Length- 17.384 km in the state of Nagaland on EPC mode under NHO-TSP Package-III,178,199.02,0,76,06-06-2025,11-11-2025,11-02-2021
944,Roads & Highways,Ministry of Road Transport & Highways,MoRTH,618127,Construction of 2- Lane with paved shoulder from km 56.45 Dharampur More to 93.050 Pakur of NH-333A in the State of Jharkhand on EPC mode,256,0,0,2,03-05-2027,,27-03-2023
945,Roads & Highways,Ministry of Road Transport & Highways,NHIDCL,618324,Construction of 2-lane Aizawl Bypass from km 15.200 to km 34.500 Package-3 on Sairang - Phaibawk section of NH-6 in the State of Mizoram under Bharatmala Pariyojna on EPC Mode under NHO-NE,721,0,0,0,10-11-2028,,28-02-2023
946,Roads & Highways,Ministry of Road Transport & Highways,MoRTH,617892,Construction of 2-lane road of Potin to Pangin section of NH-13 from Km 163.59 to Km 206.66 Package-5 on EPC Mode in the State of Arunachal Pradesh under Arunachal Pradesh Package of Roads and Highways of SARDP-NE [Job No SARDP-NE/P-P/Pkg-A/NH-13/Ar.Pr./PWD/2018-19/116],451,0,303.39,96,18-11-2023,10-07-2024,01-03-2019
947,Roads & Highways,Ministry of Road Transport & Highways,NHIDCL,618297,Construction of 2-lane with hard shoulder of Kohima - Jessami road on NH-29 Old NH-150 from existing Km 30.474 Near Kidwema road Chakahabama to existing Km 53.220 Near Kikruma Village Design Km 29.60 to Km 51.50 Design length-21.90 Km in the state of Nagaland Under Bharatmala Pariyojna on EPC Mode under NHO Package-II -Balance work,356,0,0,29,04-01-2026,,11-03-2020
948,Roads & Highways,Ministry of Road Transport & Highways,NHIDCL,618423,Construction of 2-Lane with hard shoulders of Merangkong-Tamlu-Mon MTM Road from existing Km 20.456 to Km 41.065 Design Km. 20 to Km. 40.0 Design Length-20.000 Km in the State of Nagaland under SARDP-NE Phase-A Pkg-2 Balance work,216,0,25.25,95,21-08-2025,,22-03-2018
949,Roads & Highways,Ministry of Road Transport & Highways,NHIDCL,619059,Construction of 2-Lane with hard shoulders of Merangkong-Tamlu-Mon Road on EPC Basis from existing road Km. 76.640 to Km 98.065 Design chainage Km. 63.800 to Km. 86.835 Design Length-23.035 Km in the state of Nagaland under SARDP-NE PKG-IV Balance work,324,0,65.6,65,10-09-2025,,22-03-2018
950,Roads & Highways,Ministry of Road Transport & Highways,NHIDCL,618422,"Construction of 2-lane with hard shoulders of Merangkong-Tamlu-Mon road Wakching Twon portion on EPC basis from existing Chainage Km 59000 to Km 73640 [Design Km. 59000 to Km, 72450] Design length - 13.450 Km under SARDP-NE package-V Balance work",162,0,0,0,07-09-2025,,31-03-2021
951,Roads & Highways,Ministry of Road Transport & Highways,NHIDCL,618290,"Construction of 2-lane with Paved shoulder of Kohima- Bypass Road Connecting NH-39New NH-02, NH-150New NH-02, NH-61New NH-29, NH-39New NH-02 from Design Km 32.00 to Design Km 43.454Design Length-11.454 Km in the State of Nagaland under SARDP-NE on EPC Mode Package-IV",202,0,89.76,34,17-04-2022,02-05-2025,31-07-2020
952,Roads & Highways,Ministry of Road Transport & Highways,NHIDCL,618292,Construction of 2-Lane with paved shoulder of Kohima-Bypass Road connecting New NH-02 and New NH-29 from Design Km 10.500 to design Km 21.000 [Design Length- 10.500 km] including TUNNEL of 500m at Ch. 11.000 in the state of Nagaland Under SARDP-NE on EPC Mode Package-2,277,0,172.09,67,15-10-2022,09-01-2024,07-07-2020
953,Roads & Highways,Ministry of Road Transport & Highways,NHIDCL,618291,"Construction of 2-lane with Paved shoulder of Kohima-Bypass Road connecting NH- 39 New NH-02, NH150New NH-02, NH7-61 New NH-29 and NH-39 New NH-02 from Design km 21.000 to km 32.268 [Design length11.268 km] in the state of Nagaland Under SARDP-NE on EPC Mode Package- 3",160,342.29,74.36,35,15-06-2025,06-03-2025,31-07-2020
954,Roads & Highways,Ministry of Road Transport & Highways,NHIDCL,618293,"Construction of 2-Lane with paved shoulder of Kohima-Bypass Road connecting NH-39New NH-02, NH-150New NH-02, NH-61New NH-29 and NH-39New NH-02 from design Km 0.00 to Km 10.500 in the State of Nagaland under SARDP-NE on EPC Mode Package-1 -Balance work",232,350.88,0,22,08-11-2026,,07-07-2020
955,Roads & Highways,Ministry of Road Transport & Highways,NHIDCL,618421,"Construction of 2-Lane with paved shoulder of Shillong Western Bypass starting from NH-06 near Ladumsaw Existing km 60.900 of old NH-40 to NH106 old NH-44E, km 0000 to km 12800 Package-I under SARDP-NE PHASE A in the State of Meghalaya on EPC Mode Greenfield alignment",620,0,167.31,54,01-09-2026,,07-03-2023
956,Roads & Highways,Ministry of Road Transport & Highways,NHIDCL,618419,"Construction of 2-Lane with paved shoulders of Shillong Western Bypass starting from NH-06 near Ladumsaw existing Km 60.900 of old NH40 to NH106 old NH 44E Package-III, from km 24700 to km 38256 under SARDP-NE PHASE A in the state of Meghalaya on EPC Mode Greenfield alignment",562,0,57.57,42,01-09-2026,,13-03-2023
957,Roads & Highways,Ministry of Road Transport & Highways,NHIDCL,618363,Construction of 2-laning with hard shoulder configuration of Chhumkhum to Tlabung from Design Chainage Km 37.420 to Km 74.950 of NH-302 in Mizoram under Bharatmala Pariyojana on EPC mode [Pkg-B],741,0,381.94,61,09-01-2023,30-05-2025,28-06-2021
958,Roads & Highways,Ministry of Road Transport & Highways,NHIDCL,618362,Construction of 2-laning with hard shoulder of Lunglei to Chhumkhum from Design Chainage Km 0.000 to Km 37.420 of NH-302 [Lunglei-Tlabung] Package-A,698,0,512.11,64,30-12-2022,18-05-2025,30-03-2021
959,Roads & Highways,Ministry of Road Transport & Highways,NHIDCL,618387,Construction of 2-laning with Hard shoulder of Ukhrul Tolloi - Tadubi section of NH-102A from Design Chainage km 9450 to km 50850 in the State of Manipur on EPC mode under NHO-NE Package-2,579,0,234.11,77,01-03-2026,,07-03-2023
960,Roads & Highways,Ministry of Road Transport & Highways,NHIDCL,618388,Construction of 2-laning with Hard shoulder road of Ukhrul - Tolloi - Tadubi section of NH-102A from Design Chainage 50.850 km to 81.870 km in the State of Manipur on EPC mode under NHO-TSP Package -3,316,0,227.97,90,20-01-2025,09-03-2025,09-09-2021
961,Roads & Highways,Ministry of Road Transport & Highways,NHIDCL,618389,Construction of 2-laning with Hard shoulder road of Ukhrul - Tolloi - Tadubi section of NH-102A from Design Chainage 81.870 km to 105.825 km in the State of Manipur on EPC mode under NHO-TSP Package -4,311,0,247,96,28-02-2024,04-10-2025,07-09-2021
962,Roads & Highways,Ministry of Road Transport & Highways,NHIDCL,618424,Construction of 2-Laning with hard shoulders of Hayuliang Hawai bypass Road on EPC basis from design Km. 51.825 to Km. 63.131 Existing Km 45.050 of HayuliangHawai road to Hawai Town under SARDP-NE -Balance work Pkg - IV,257,216.76,0,93,02-05-2023,02-07-2026,25-01-2017
963,Roads & Highways,Ministry of Road Transport & Highways,NHIDCL,618448,Construction of 2-Laning with Paved Shoulder of New Greenfield Alignment From Chochenpheri at Km 52000 to Helipad near Menla at Km 82000 of Rhenock-Menla Spur NH-717B Package-IIIA on EPC Basis under SARDP-NE Phase 'A' in the State of Sikkim.,817,786.6,32.28,56,09-12-2023,11-09-2025,07-10-2020
964,Roads & Highways,Ministry of Road Transport & Highways,NHIDCL,618447,Construction of 2-Laning with Paved Shoulder of New Greenfield Alignment From Helipad near Menla at Km 82000 to Menla at Km 94030 of Rhenock-Menla Spur NH-717B Package-IIIB on EPC Basis under SARDP-NE Phase 'A' in the State of Sikkim.,411,379.3,0,79,24-02-2024,12-09-2025,18-01-2021
965,Roads & Highways,Ministry of Road Transport & Highways,MoRTH,617917,"Construction of 4 Lane Flyover at Nagpur RTO Chowk To Nagpur University Campus from Ch 2/250 to 5/100 and 4 lane flyover at wadi/midc junction from km 8/360 to km, 10/300 on NH 53 in state of Maharashtra.",479,490.52,0,95,01-03-2024,02-04-2025,31-03-2021
966,Roads & Highways,Ministry of Road Transport & Highways,MoRTH,617896,"Construction of 4 lane Gauripur Bypass Starting bfrom Km 852.56 of NH-31Dumardoha Pt-II and Terminating at Km 862.17 Baladmara via. Khudimari Pt.- II, Fulkumari, Charaldanga, Sajuakuti,Geramari Pt.-III and finally meeting at km 862.17 of NH-17New/ NH-31Old in the State of Assam under EPC Mode Job no. 31/AS/ 2023-24/265",421,0,0,10,24-10-2026,,15-03-2024
967,Roads & Highways,Ministry of Road Transport & Highways,MoRTH,618247,Construction of 4 lane Mirzapur bypass including bridge over river Ganga from km 0.000 to km 15.000 of NH 135A in the State of Uttar Pradesh on HAM Mode.,1709,0,0,0,17-01-2029,,07-03-2024
968,Roads & Highways,Ministry of Road Transport & Highways,MoRTH,617969,Construction of 4 Lane ROB and its approaches at the level crossing LC No 29 B of Km 29 Ekangarsarai at NH 110 New NH 33 & Railway Km 32.63 at Fatwa FUT Islampur IPR section in the state of Bihar on EPC mode.,201,0,0.01,39,19-07-2026,,11-03-2023
969,Roads & Highways,Ministry of Road Transport & Highways,MoRTH,617905,Construction of 4 lane ROB with approaches in lieu of LC No. RV-172 at km 176.00 of NH-201 present NH-26 at Kesinga including land acquisition in the state of Odisha on EPC mode under Annual Plan 2021-22,324,0,65.83,70,08-05-2025,,30-12-2021
970,Roads & Highways,Ministry of Road Transport & Highways,MoRTH,618205,"Construction of 4 lane with paved shoulder from Existing Ch. 14200 to 24320 Design Ch. 14200 to 24400, Ch. 33760 to 42780 Design Ch. 35300 to 44294 & Ch. 43440 to 47020 Design Ch. 44958 to 48500 Delina Flyover including construction of flyover length 1.704 km of total length 22.736 kms in AOR of 760 BRTF on road SRINAGAR BARAMULA URI NH-01 in the UT of Jammu & Kashmir under project BEACON, Border Roads Organization BRO Package-IJob No NH-1-J&K-2022-23-110",823,0,242.07,78,24-08-2025,,29-06-2022
971,Roads & Highways,Ministry of Road Transport & Highways,MoRTH,618203,"Construction of 4 lane with paved shoulder Pattan bypass Greenfield bypass from existing Ch. Km 24320 to Km 33760 and Design Ch. from Km 24400 to Km 35300, total length 10.900 km on road SrinagarBaramulla Uri NH-01 in the UT of Jammu & Kashmir under Project BEACON, Border Roads Organization BRO on EPC mode. Package-II",980,0,0,48,31-07-2026,,22-03-2023
972,Roads & Highways,Ministry of Road Transport & Highways,MoRTH,617919,Construction of 4 Nos Grade separtor between km. 281.000 to km. 307.600 km. 286.400 kumhari km. 299.000 Transport Nagar km. 302.000 Power House km. 304.000 Chandra Moura Chowk to km. 305.000 supeia of NH-53 old NH-06 Raipur -Durg 4 Lane on EPC mode in the state of chhattisgarh job NO. NH-53old NH-06 CG-2017-18-56,349,0,0,97,27-01-2021,27-01-2021,22-03-2018
973,Roads & Highways,Ministry of Road Transport & Highways,NHIDCL,619057,Construction of 4-Lane Badarpur Bypass from Design Chainage km 27300 at crossing with NH-6 Old NH-44 Near Siddeswar Pt.-I Village to Design Chainage km 38600 on NH-37 Old NH-44 at Kandigram Chaita Village on Silchar - Churaibari stretch in the State of Assam on EPC Mode under Bharatmala Pariyojana in Economic Corridors Silchar- Churaibari Pkg-3,574,0,277.82,63,09-08-2026,,28-02-2023
974,Roads & Highways,Ministry of Road Transport & Highways,NHIDCL,618373,"Construction of 4-Lane Bridge including approaches over River Brahmaputra between Dhubri on North Bank,Assam and Phulbari on south Bank,Meghalaya on NH-127B under JICA ODA Loan assistance Phase-III",4997,0,2556.61,70,12-09-2028,09-12-2028,06-05-2019
975,Roads & Highways,Ministry of Road Transport & Highways,National Highways Authority of India [NHAI],619142,Construction of 4-lane connectivity to Banbasa ICP at India Nepal border from NH-09 old NH-125 Sitarganj-Tanakpur at Km 40.00 near Jagbuda bridge under Bharatmala Priyojana of NH-109D on EPC mode in the State of Uttarakhand,217,237.01,152.15,74,01-09-2024,11-04-2027,17-06-2022
976,Roads & Highways,Ministry of Road Transport & Highways,MoRTH,618001,"Construction of 4-lane flyover at Amberpet-X road, Hyderabad on NH-202 in the State of Telangana",217,265.88,154.05,92,28-06-2023,06-04-2024,08-05-2018
977,Roads & Highways,Ministry of Road Transport & Highways,MoRTH,618166,Construction of 4-lane green field highway from Km. 35.000 to Km. 49.155 of NH-731A with paved shoulders on Hybrid Annuity Mode in the state of Uttar Pradesh,698,0,0.04,99,29-10-2025,,06-01-2022
978,Roads & Highways,Ministry of Road Transport & Highways,MoRTH,618165,Construction of 4-lane highway with paved shoulders from Km 49.155 to Km 74.700 of NH-731A on Hybrid Annuity Mode in the state of Uttar Pradesh,1157,0,0,92,31-01-2026,,08-01-2022
979,Roads & Highways,Ministry of Road Transport & Highways,NHIDCL,618308,Construction of 4-Lane Panchgram Bypass from Design Chainage km 15500 on NH-37 Old NH-53 at Kalinagar Pt.-I Village to Design Chainage km 27300 at crossing with NH-6 Old NH-44 Near Siddeswar Pt.-I Village on Silchar - Churaibari stretch in the State of Assam on EPC Mode under Bharatmala Pariyojana in Economic Corridors Silchar- Churaibari Package-2,676,728.97,0,46,09-02-2027,,16-03-2023
980,Roads & Highways,Ministry of Road Transport & Highways,NHIDCL,618417,"Construction of 4-Lane with paved shoulder Agartala bypass Western side, length 25.402 km connecting NH-8 near Amtali to NH-108B near Lembuchhera in the state of Tripura on EPC basis under NHO-NE",2026,0,0,0,09-03-2027,,22-03-2023
981,Roads & Highways,Ministry of Road Transport & Highways,NHIDCL,618320,Construction of 4-Laning of N. Kawnpui N. Mualvum Mualkhang via Khamrang Village section Package-7 of NH-6 from Existing Chainage km 127200 to km 142000 Design Chainage km 111850 to km 123400 on Silchar - Vairengte - Sairang road in the State of Mizoram on EPC mode,866,0,0,0,28-10-2028,,12-02-2024
982,Roads & Highways,Ministry of Road Transport & Highways,NHIDCL,618321,Construction of 4-Laning of West Serawlg-Sairang section of NH-6 from Existing Chainage km 142000 to km 158900 Design Chainage km 123400 to km 136260 on Silchar - Vairengte - Sairang road in the State of Mizoram under Bharatmala Pariyojna on EPC mode under NHO-NE Package-8,876,0,0,0,01-11-2028,,12-02-2024
983,Roads & Highways,Ministry of Road Transport & Highways,National Highways Authority of India [NHAI],618869,"Construction of 4/6 lane Highway of Southern Bareilly Bypass, starting at Ch. 237000 of NH 530 near Jhumka chauraha, Dhantiya village and ending at Ch. 267000 of NH 30 near Invertis University including Trumpet Interchange",1122,1869.59,51.98,0,23-06-2028,,18-12-2024
984,Roads & Highways,Ministry of Road Transport & Highways,NHIDCL,618330,Construction of 4/6 Laning from existing Km 159.400 of NH-36 to existing Km 102.500 of NH-39 and upto end point of Assam portion [Design Km 118.050 to design Km 132.375] Total New Alignment length of 14.325 Km of Daboka -Dimapur Section Dimapur Bypass in the state of Assam under SARDP-NE 'Phase-A' on EPC mode Assam Portion,511,0,647.2,100,25-11-2022,23-08-2024,09-03-2018
985,Roads & Highways,Ministry of Road Transport & Highways,NHIDCL,618329,Construction of 4/6 Laning from Km 132.375 to Km 153.058 Total New Alignment length of 20.683 Km of Daboka-Dimapur Section Dimapur Bypass Nagaland Portion of NH-36 & 39 in the State of Nagaland on EPC basis under PhaseA of SARDP-NE,819,0,0,0,04-09-2020,28-02-2023,16-02-2017
986,Roads & Highways,Ministry of Road Transport & Highways,National Highways Authority of India [NHAI],618500,Construction of 4L Connector from Delhi Meerut Expressway Km 50.000 of Pkg IV to Km 8.520 of NH-235 Pkg-5,1081,1116.19,402.75,76,29-03-2024,31-12-2025,06-09-2021
987,Roads & Highways,Ministry of Road Transport & Highways,MoRTH,617912,Construction of 6 lane flyover from Khapari ROB to Mihan Interchange design chainage km 8760 to 11450 L- 2.69 km and upgradation of existing 4L PS road to 6LPS with service road by flexible pavement design chainage km 11450 to 14500 L-3.05 [total project length 5.74 km] in section of Nagpur - Hyderabad NH-44 Old NH-7 in Nagpur district in the state of Maharashtra on HAM mode.,620,0,0,0,03-10-2027,,15-03-2024
988,Roads & Highways,Ministry of Road Transport & Highways,National Highways Authority of India [NHAI],618932,Construction of 6 lane Indore western bypass from km 0000 to Km 34000 Pkg -l in the State of Madhya Pradesh on Hybrid Annuity Mode under NHO,1535,1472.68,175.29,0,31-12-2027,,28-02-2024
989,Roads & Highways,Ministry of Road Transport & Highways,MoRTH,618233,Construction of 6-lane bridge on Ganga on NH-96 and its approaches in Phaphamau Allahabad on EPC mode,1948,1465.41,0,85,15-02-2024,08-07-2024,11-07-2018
990,Roads & Highways,Ministry of Road Transport & Highways,MoRTH,618250,Construction of 6-Lane Elevated / Extra Dose Cable Bridge on River Ganga parallel to & Western side of Digha-Sonepur Rail cum-Road Bridge of NH 139W in the State of Bihar,3064,0,0,8,02-11-2027,,05-01-2024
991,Roads & Highways,Ministry of Road Transport & Highways,National Highways Authority of India [NHAI],618627,Construction of 7 Nos of Standalone safety structures/works at different locations on various NHs,169,112.03,0.66,5,27-01-2027,,16-01-2025
992,Roads & Highways,Ministry of Road Transport & Highways,MoRTH,618228,construction of a new 4 lane Parallel to existing MG Setu with its approaces from km 0.00 to km 14.500 across river Ganga on NH-19 at Patna in the state of Bihar.,2926,0,0,66,22-09-2024,12-01-2025,12-02-2019
993,Roads & Highways,Ministry of Road Transport & Highways,MoRTH,618234,Construction of a new 4-lane major bridge across river Kosi at Phulaut including Rehabilitation and upgradation of existing Birpur and Bihpur section of NH-106 from km 106.000 to km 136.000 to 2-lane with paved shoulders in the State of Bihar on EPC mode,1478,0,753.21,87,06-06-2024,05-03-2026,20-09-2018
994,Roads & Highways,Ministry of Road Transport & Highways,National Highways Authority of India [NHAI],618882,Construction of additional 3-Lane Bridge over River Ganga for connection between Buxar and Bharauli on NH-922 in the State of Uttar Pradesh and Bihar on Hybrid Annuity Mode,532,444.92,0.94,6,19-02-2028,,15-03-2024
995,Roads & Highways,Ministry of Road Transport & Highways,MoRTH,617893,Construction of additional major Bridge with 4- lane configuration of length 1.48 km on NH-60 NH-14 over River Kangshabati from Km. 117.770 to Km 119.250 and additional major Bridge with 4- lane configuration of length 0.900 km on NH-60 NH-14 over River Shilabati from Km. 173.220 to Km 174.120 in the district of Paschim Medinipur of West Bengal under Annual Plan for FY 2023-24 on EPC mode. Job No 014-W8-2023-24/527.,305,0,0,0,15-05-2028,,16-11-2023
996,Roads & Highways,Ministry of Road Transport & Highways,NHIDCL,618430,Construction of alternative highway to Gangtok in Sikkim via Bagrakot -Chuikhim-Nimbong -Kafer-Bakhim-Algarah-Rhenock in the State of West Bengal and from Rhenok-Rorathang-Pakyong along with spur from Aritar-Rolep-Menla in the State of Sikkim from Km 0.00 to Km 13.00 of Bagrakot -Kafer section of NH 717A on EPC Mode under Phase-A of SARDP-NE in the State of West Bengal PKG- IVA,403,0,0,98,03-04-2022,09-06-2025,22-03-2018
997,Roads & Highways,Ministry of Road Transport & Highways,NHIDCL,618431,Construction of alternative highway to Gangtok in Sikkim via Bagrakot -Chuikhim-Nimbong -Kafer-Bakhim-Algarah-Rhenock in the State of West Bengal and from Rhenok-Rorathang-Pakyong along with spur from Aritar-Rolep-Menla in the State of Sikkim from Km 13.00 to Km 25.60 of Bagrakot -Kafer section of NH 717A on EPC Mode under Phase-A of SARDP-NE in the State of West Bengal PKG- IVB,296,0,0.39,96,05-04-2023,07-03-2025,22-03-2018
998,Roads & Highways,Ministry of Road Transport & Highways,MoRTH,618066,Construction of Amethi bypass Part-II at km.30.050 of NH-931 under EPC mode in the state of Uttar Pradesh,284,0,15.27,33,11-02-2027,,12-12-2022
999,Roads & Highways,Ministry of Road Transport & Highways,NHIDCL,618414,Construction of Balance work for 2-lane with hard shoulder of Peren- Dimapur section on NH-129A from Design Km 126.775 to Km 146.208 Length 19.433 Km in the state of Nagaland on EPC mode under NHO-TSP Package-II,259,0,47.41,81,09-09-2025,,18-01-2021
1000,Roads & Highways,Ministry of Road Transport & Highways,NHIDCL,618433,Construction of Balance work of 2-Lane with PS of Joram Koloriang Road from existing Km122.600 to km138.00 [Design Km108.724 to Km123.714] in Arunachal Pradesh on EPC Mode under SARDP-NE Pkg-7,185,0,0,98,02-04-2022,03-07-2023,15-02-2017
1001,Roads & Highways,Ministry of Road Transport & Highways,NHIDCL,618432,Construction of Balance work of 2-Lane with PS of Joram-Koloriang Road NH-713 on EPC basis from Design Km 44.989 to Km 61.547 Existing Km 50.050 to Km 70.000 in the state of Arunachal Pradesh under SARDP-NE Pkg-3,229,0,0,99,02-04-2022,03-07-2023,15-02-2017
1002,Roads & Highways,Ministry of Road Transport & Highways,NHIDCL,618437,"Construction of Balance Work of 4-Laning of NH-37 Section between End of Moran Bypass to Bogibeel junction near Lapetketa Km. 561.700-Km. 580.875 under SARDP-NE, Phase 'A' in the State of Assam on EPC mode Pkg-I Road works & Toll Plaza",274,0,0,100,31-08-2025,,12-01-2016
1003,Roads & Highways,Ministry of Road Transport & Highways,NHIDCL,618441,"Construction of Balance Work of 4-Laning of the Section from Jhanji to Demow of NH-37 Old from Km 490.800 to Km 501.800 11.000 Km, under SARDP- NE under EPC Mode in the state of Assam Pkg-I Road Works",468,476.5,72.13,0,28-09-2025,,04-01-2016
1004,Roads & Highways,Ministry of Road Transport & Highways,NHIDCL,618440,"Construction of Balance Work of 4-Laning of the Section from Jhanji to Demow of NH-37 Old from Km 490.800 to Km 534.800, under SARDP- NE on EPC Mode in the state of Assam Pkg- IV Structures & Toll Plaza",187,100.22,0,0,13-10-2025,,04-01-2016
1005,Roads & Highways,Ministry of Road Transport & Highways,NHIDCL,619013,"Construction of Balance Work of 4-Laning of the Section from Jhanji to Demow of NH-37 Old from Km 501.800 to Km 514.800 13.000 Km, under SARDP- NE under EPC Mode in the state of Assam Pkg-II Road Works",509,542.87,58.12,47,05-10-2025,,31-10-2014
1006,Roads & Highways,Ministry of Road Transport & Highways,NHIDCL,619060,"Construction of Balance Work of 4-Laning of the Section from Jhanji to Demow of NH-37 Old from Km 514.800 to Km 534.800 20.000 Km, under SARDP- NE under EPC Mode in the state of Assam Pkg-III Road Works",345,619.7,46.37,62,28-09-2025,,31-10-2014
